label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
103,42.0,39.62132034355964,0.9952076444845708,0.8235294117647058,7.312732791431452,102.9047619047619,142.1904761904762,0.5161510109901428,0.7704207897186279,0.62185735
104,357.0,92.14213562373095,0.9563462054615005,0.937007874015748,21.320096563347295,4.341736694677871,142.8263305322129,0.508539617061615,0.8969059586524963,0.68685085
105,129.0,54.48528137423857,0.9721011066842493,0.9485294117647058,12.815923738491737,106.74418604651163,141.68992248062017,0.5470296740531921,0.7713490128517151,0.6473252
106,24.0,21.621320343559642,0.9849097240019141,0.8571428571428571,5.527906391541368,188.04166666666666,142.25,0.572029709815979,0.8749381303787231,0.6590269
107,2495.0,231.1370849898476,0.8149363446737403,0.8134985327681774,56.36251115869688,140.53466933867736,128.10901803607214,0.4714109003543854,0.928960382938385,0.69594944
108,13.0,11.0,0.9962942897654247,0.7222222222222222,4.068428945128219,186.3846153846154,141.6153846153846,0.5648514628410339,0.7354578971862793,0.62763715
109,85.0,68.44974746830583,0.9966495290933425,0.7798165137614679,10.403141895720198,145.3764705882353,145.3294117647059,0.6001856327056885,0.928960382938385,0.76572293
110,84.0,69.07106781186548,0.9966793573111233,0.7924528301886793,10.341765891652821,146.45238095238096,147.66666666666666,0.5997524857521057,0.8790223002433777,0.74798155
111,74.0,31.449747468305834,0.6487618466844657,0.925,9.706684619910241,408.7837837837838,147.43243243243242,0.5071163177490234,0.8071781992912292,0.6642327
112,67.0,64.82842712474618,0.9981780512171955,0.8170731707317073,9.23618154310838,142.5820895522388,150.16417910447763,0.5994430780410767,0.897400975227356,0.7553181
113,44.0,31.65685424949238,0.9774074616134626,0.88,7.48482063701911,25.0,151.5,0.508539617061615,0.6902227997779846,0.5737962
114,66.0,63.62132034355964,0.9980763251396647,0.8148148148148148,9.166995688475081,140.37878787878788,152.27272727272728,0.6021658182144165,0.8780322074890137,0.7707442
115,91.0,41.27817459305202,0.9386020332237477,0.9578947368421052,10.764051215546116,213.56043956043956,151.76923076923077,0.5051980018615723,0.7913366556167603,0.657914
116,25.0,22.82842712474619,0.9853582924580256,0.8333333333333334,5.641895835477563,25.04,154.04,0.510519802570343,0.6915223002433777,0.57906187
117,66.0,63.62132034355964,0.9981220088534215,0.8148148148148148,9.166995688475081,138.42424242424244,154.36363636363637,0.6000000238418579,0.8931311964988708,0.77055484
118,10.0,8.207106781186548,0.654653670707977,0.9090909090909091,3.5682482323055424,16.8,158.1,0.5124381184577942,0.5137376189231873,0.51316214
119,3162.0,262.5452018978108,0.8236491285971356,0.8143188256502704,63.450637825419726,161.44022770398482,167.26850094876662,0.39362624287605286,0.9024133682250977,0.6977796
